batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,batsman_score
TM Dilshan,Sri Lanka,830,0.9810874704491725,46.111111111111114,3.1792930482458965,2.528086168396916,4,0.1998693664271718,1.15970330898929,0.027240433989078106,5.192877985296476
HM Amla,South Africa,956,1.0323974082073435,68.28571428571429,3.131122172150953,1.6770125452809792,3,0.27331397224911264,1.061605537565914,0.025456396896192772,5.152766983442013
V Kohli,India,995,0.8382476832350463,43.26086956521739,3.299004538134973,2.390682206166237,3,0.1971201588877855,0.9847256771963623,0.026046438443618508,4.95682153753103
G Gambhir,India,670,0.9140518417462483,47.857142857142854,3.299004538134973,2.126939714211427,4,0.1586395233366435,1.0378437420613842,0.022146337803509334,4.826814622456861
AB de Villiers,South Africa,862,1.009367681498829,57.46666666666667,3.131122172150953,1.785145344804579,2,0.20813165537270087,1.0915047724757276,0.02875159978009598,4.606152350958706
SR Tendulkar,India,204,1.3076923076923077,102.0,3.299004538134973,3.131122172150953,1,0.0506454816285998,1.4612520051944082,0.007215375318230076,4.555108835312417
AJ Strauss,England,745,0.9163591635916359,57.30769230769231,2.962530400413132,2.137299881611908,2,0.19505198996055934,1.0505084332393575,0.023176164340410726,4.441081569445306
EJG Morgan,England,667,0.9328671328671329,41.6875,2.962530400413132,1.9736300702314178,3,0.18680530656149158,1.1325738872099576,0.027440074927239162,4.4283619772497484
Shahid Afridi,Pakistan,601,1.4042056074766356,33.388888888888886,1.4298806362492829,3.058514849282098,2,0.19782608695652174,1.6848188405797102,0.029245357318597977,4.176472908969072
JH Kallis,South Africa,592,0.8942598187311178,53.81818181818182,3.131122172150953,1.9963553604092494,2,0.15392061955469508,0.9369081190285786,0.02828015806904308,4.152346043938285
SR Watson,Australia,652,0.8681757656458056,37.588235294117645,3.368462523392101,2.176401722802647,2,0.11653356994971902,1.0030029099165771,0.0489477753903572,4.135172884565102
WU Tharanga,Sri Lanka,609,0.7267303102625299,30.45,3.1792930482458965,2.503447489509771,2,0.16165904637491835,0.8813671228056693,0.031326614934525536,4.023996836196453
V Sehwag,India,446,1.0543735224586288,37.166666666666664,3.299004538134973,2.465035803925493,2,0.07398212512413108,1.0882141999467778,0.02889635122978122,4.019420430678121
LRPL Taylor,New Zealand,619,0.8091503267973856,36.411764705882355,1.7315254917466654,2.5861222182860453,3,0.2216949152542373,1.0088024754075646,0.03200500070137136,3.994505375600034
RT Ponting,Australia,688,0.8,38.529411764705884,3.368462523392101,1.9705884978618684,1,0.1795326826382727,0.9563754526487445,0.031428679901093215,3.942731274239379
CL White,Australia,692,0.8574969021065675,36.111111111111114,3.368462523392101,2.1329143804865396,1,0.13487133984028393,0.9737414315941378,0.03219233823470504,3.9190955450505736
KC Sangakkara,Sri Lanka,641,0.8346354166666666,42.733333333333334,3.1792930482458965,2.672236676173854,0,0.18092749836708033,1.0098679068920078,0.03813467378623676,3.857069854122114
JR Hopes,Australia,267,1.0766129032258065,25.5,3.368462523392101,2.134462026019427,2,0.04288671990535345,1.79850478581812,0.055665429499063425,3.8222979084555466
MS Dhoni,India,600,0.7751937984496124,35.294117647058826,3.299004538134973,2.570764391768043,1,0.10427010923535253,0.9500400033771695,0.03768635965578505,3.813888923314026
BRM Taylor,Zimbabwe,622,0.8046571798188874,36.588235294117645,1.1291301904392212,2.2656498604411146,3,0.26988382484361034,1.0380706686033208,0.02300290125474302,3.7672463925521615
MJ Clarke,Australia,695,0.8043981481481481,46.333333333333336,3.368462523392101,2.247752658456524,0,0.12244897959183673,0.9634608334351704,0.02954042330745214,3.752758849440823
MEK Hussey,Australia,682,0.89501312335958,37.44444444444444,3.368462523392101,2.221439371984927,0,0.1106181603076013,1.120968606510448,0.041627479854979464,3.7153115142558057
LE Bosman,South Africa,97,1.3857142857142857,48.5,3.131122172150953,3.299004538134973,0,0.021942562116811875,1.5359793481768311,0.03626188621469475,3.663415191552657
YK Pathan,India,281,1.1708333333333334,35.125,3.299004538134973,2.2867463661338165,1,0.05114200595829196,1.4661794192246629,0.026422032327362174,3.66022097944849
RG Sharma,India,504,0.8542372881355932,36.0,3.299004538134973,2.4144114093863744,1,0.05163853028798411,1.0238987877806893,0.027197962153961572,3.6384171466761015
SK Raina,India,631,0.9431988041853513,30.047619047619047,3.299004538134973,2.4247735455725086,0,0.07969215491559087,1.1174280039721947,0.03860320206620696,3.587956057571599
