bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
BAW Mendis,Sri Lanka,-0.611731843575419,38,2.7142857142857144,0.0867579908675799,10,2.9025623238876253,2.3028943313567587,0.16666666666666666,0.32038834951456313,6.624767880082084
M Muralitharan,Sri Lanka,-0.7001044932079414,31,1.7222222222222223,0.04626865671641791,10,2.9025623238876253,2.7406684716770577,0.1388888888888889,0.2669902912621359,5.7854226937129125
NW Bracken,Australia,-0.6657342657342658,29,1.9333333333333333,0.06092436974789916,11,3.1509790209790207,2.278731139439209,0.12290502793296089,0.20952380952380953,5.757505016430363
P Kumar,India,-0.7989347536617842,21,1.5,0.035,12,3.6967984535690133,2.9724805090056137,0.0975609756097561,0.23129251700680273,5.620502872783243
Shahid Afridi,Pakistan,-0.7726798748696558,24,1.5,0.032388663967611336,13,3.5317634173055863,1.8904183284586327,0.11363636363636363,0.21688837478311163,5.450618638894739
Sohail Tanvir,Pakistan,-0.7736486486486487,25,1.5625,0.036390101892285295,13,3.5317634173055863,1.9235146385584863,0.09090909090909091,0.1735106998264893,5.361737137782396
MG Johnson,Australia,-0.6910919540229885,23,1.6428571428571428,0.04781704781704782,10,3.1509790209790207,2.177440617001366,0.11731843575418995,0.22000000000000003,5.323372164516594
Umar Gul,Pakistan,-0.8300653594771242,20,2.2222222222222223,0.05249343832020997,7,3.5317634173055863,1.9727288413246757,0.07727272727272727,0.2738990332975295,5.234539109140823
I Sharma,India,-0.8422982885085575,21,1.5,0.030478955007256895,9,3.6967984535690133,2.9344693732521514,0.06504065040650407,0.20559334845049132,5.188351005013045
KMDN Kulasekara,Sri Lanka,-0.6875768757687577,25,1.4705882352941178,0.044722719141323794,11,2.9025623238876253,2.4960239251978065,0.08333333333333333,0.14563106796116504,5.108011535514131
Z Khan,India,-0.5893333333333334,13,1.8571428571428572,0.058823529411764705,6,3.6967984535690133,2.491531848339078,0.06097560975609756,0.28911564625850344,5.093274105655677
Harbhajan Singh,India,-0.7254098360655737,16,1.1428571428571428,0.030131826741996232,11,3.6967984535690133,2.785767335074564,0.06910569105691057,0.17872603586889302,5.02834720691486
IK Pathan,India,-0.9546511627906977,20,1.25,0.024360535931790498,10,3.6967984535690133,2.906681967311175,0.056910569105691054,0.1619047619047619,4.980131718499191
