country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,score,rank
Pakistan,0.7777777777777778,339,41,27,21,3.683682891439124,1
India,0.7692307692307693,351,38,26,20,3.597670796424259,2
Australia,0.7391304347826086,252,45,23,17,3.4308870001089677,3
Sri Lanka,0.5454545454545454,585,-3,22,12,2.7934369416363873,4
New Zealand,0.5625,117,27,16,9,2.5626813744888537,5
South Africa,0.5833333333333334,727,5,12,7,2.5595238095238093,6
West Indies,0.375,107,-22,24,9,2.11230378578024,7
Ireland,0.5,-13,4,8,4,1.737534626038781,8
Zimbabwe,0.375,-15,-27,16,6,1.5873400606780108,9
Bangladesh,0.3,-478,-20,20,6,1.4440838939453897,10
England,0.2727272727272727,-383,-39,22,6,1.343856051612284,11
Canada,0.125,-717,-2,8,1,0.6964285714285714,12
Kenya,0.0,-426,-24,6,0,0.3800949742777997,13
Netherlands,0.0,-446,-23,6,0,0.37814932067009627,14
