batsman,country,total_runs,run_rate,average_score,opponent_variability,player_of_the_match,winning_contribution,run_rate_effectiveness,match_id
Younis Khan,Pakistan,463,1.0333333333333334,57.75,6,1,0.21678321678321677,1.780484748226684,589309
V Kohli,India,986,0.9293119698397738,61.625,4,5,0.32599118942731276,1.3164295146143243,589310
SR Patel,England,595,0.9653179190751445,70.25,4,3,0.24220837043633126,1.3345497099949457,565812
GJ Maxwell,Australia,548,1.117117117117117,31.5,6,1,0.07708246995441359,1.4461426310297134,573014
XJ Doherty,Australia,548,1.117117117117117,112.0,6,1,0.07708246995441359,1.4461426310297134,573015
V Kohli,India,986,0.9293119698397738,61.625,4,5,0.32599118942731276,1.3164295146143243,565813
PJ Hughes,Australia,739,0.8782051282051282,112.0,6,2,0.19017725258493354,1.187535400539754,573016
R McLaren,South Africa,537,1.0550098231827112,73.0,3,2,0.3746678476527901,1.2804472984942428,567358
SR Patel,England,595,0.9653179190751445,70.25,4,3,0.24220837043633126,1.3345497099949457,565814
NL McCullum,New Zealand,399,0.9279069767441861,52.333333333333336,3,1,0.1772428884026258,1.220545894276172,567359
TT Bresnan,England,595,2.0,70.25,4,3,0.24220837043633126,5.005080109417742,565815
PJ Hughes,Australia,739,1.117117117117117,112.0,6,2,0.19017725258493354,1.4461426310297134,573018
NL McCullum,New Zealand,399,0.9279069767441861,52.333333333333336,3,1,0.1772428884026258,1.220545894276172,567360
V Kohli,India,986,0.9293119698397738,61.625,5,5,0.32599118942731276,1.3164295146143243,565816
KOA Powell,West Indies,395,1.188191881918819,30.384615384615383,4,2,0.12239221140472879,1.4797163150686385,573022
PJ Hughes,Australia,645,1.117117117117117,112.0,6,1,0.12850812407680945,1.4461426310297134,573023
SR Watson,Australia,645,1.117117117117117,112.0,6,1,0.12850812407680945,1.4461426310297134,573024
KOA Powell,West Indies,395,1.2463768115942029,30.384615384615383,4,2,0.12239221140472879,1.7023341597629558,573025
SR Watson,Australia,342,0.8549618320610687,112.0,4,1,0.0413589364844904,1.0488121145150924,573026
JE Root,England,595,0.9653179190751445,49.583333333333336,4,3,0.24220837043633126,1.3345497099949457,569240
NL McCullum,New Zealand,399,0.9279069767441861,52.333333333333336,3,1,0.12253829321663019,1.220545894276172,569241
NL McCullum,New Zealand,399,0.9279069767441861,52.333333333333336,3,1,0.12253829321663019,1.220545894276172,569242
V Sibanda,Zimbabwe,51,0.8,51.0,1,0,,,593985
HM Amla,South Africa,537,1.0550098231827112,73.0,3,2,0.3746678476527901,1.2804472984942428,567368
HM Amla,South Africa,537,1.0550098231827112,73.0,3,2,0.3746678476527901,1.2804472984942428,567370
R McLaren,South Africa,513,0.9919571045576407,73.28571428571429,3,3,0.3083832335329341,1.1086377245508983,567371
Younis Khan,Pakistan,405,0.8015267175572519,74.5,4,1,0.14728682170542637,1.7260981912144702,567372
Tamim Iqbal,Bangladesh,204,0.8623853211009175,40.8,1,1,0.21286370597243492,1.3016407788230147,623573
Tamim Iqbal,Bangladesh,204,0.8623853211009175,40.8,1,1,0.21286370597243492,1.3016407788230147,623574
Ziaur Rahman,Bangladesh,204,1.2,40.8,1,1,0.21286370597243492,1.564334085778781,623575
WTS Porterfield,Ireland,67,1.2,67.0,1,0,0.4527027027027027,2.3756756756756756,601613
JE Root,England,759,1.4615384615384615,49.1,5,2,0.2628372497824195,1.4338499830924705,566923
MJ Guptill,New Zealand,409,1.034920634920635,57.0,3,1,0.2052863436123348,1.201569383259912,566924
RS Bopara,England,759,0.9852941176470589,49.1,5,2,0.2628372497824195,1.4338499830924705,566925
V Kohli,India,543,0.8709677419354839,45.25,3,3,0.2303282959874935,1.2075550166352667,578614
Shoaib Malik,Pakistan,536,0.7892376681614349,55.5,6,2,0.33665559246954596,1.1475790572954627,578615
RS Bopara,England,759,0.9852941176470589,49.1,5,2,0.2628372497824195,1.4338499830924705,578616
TM Dilshan,Sri Lanka,398,0.8930041152263375,72.2,3,1,0.26062322946175637,1.3427762039660056,578617
R McLaren,South Africa,610,0.9903846153846154,61.0,4,3,0.28440366972477066,1.3556942815754984,578618
MN Samuels,West Indies,481,0.8823529411764706,38.57142857142857,5,2,0.20227765726681127,1.3097908011323947,578619
RS Bopara,England,759,0.9852941176470589,49.1,5,2,0.2628372497824195,1.4338499830924705,578621
RS Bopara,England,759,0.9852941176470589,49.1,5,2,0.2628372497824195,1.4338499830924705,578624
TM Dilshan,Sri Lanka,398,0.8930041152263375,72.2,3,1,0.26062322946175637,1.3427762039660056,578625
R McLaren,South Africa,610,0.9903846153846154,61.0,4,3,0.28440366972477066,1.3556942815754984,566946
TM Dilshan,Sri Lanka,398,1.2023809523809523,72.2,4,1,0.26062322946175637,1.7644774847293907,566947
V Kohli,India,543,0.9466666666666667,94.66666666666667,3,3,0.2303282959874935,1.2075550166352667,566948
WU Tharanga,Sri Lanka,361,0.8930041152263375,72.2,3,1,0.14636449480642116,1.3427762039660056,597923
V Kohli,India,543,0.9466666666666667,94.66666666666667,3,3,0.2303282959874935,1.2075550166352667,597924
WU Tharanga,Sri Lanka,274,0.8930041152263375,30.444444444444443,3,1,0.08876298394711993,1.3427762039660056,597925
