match_id,match_date,team,opponent,location,runs_scored,opponent_base,opponent_trend,opponent_trend_predict,opponent_mean,location_base,location_trend,location_trend_predict,location_mean,current_base,current_trend,current_trend_predict,current_mean,is_train,noise
589309,2013-01-03,Pakistan,India,Kolkata,250,303.59999999999997,-0.40000000000000024,301.2,302.4,313.20000000000005,-20.800000000000008,188.4,250.8,313.20000000000005,-20.800000000000008,188.4,250.8,True,False
589310,2013-01-06,India,Pakistan,Delhi,167,345.0,-20.400000000000006,222.59999999999997,283.8,295.6,-14.400000000000006,209.2,252.4,295.6,-14.400000000000006,209.2,252.4,True,False
565812,2013-01-11,England,India,Rajkot,325,317.4,-16.400000000000002,218.99999999999997,268.2,256.0,-6.400000000000001,217.6,236.8,256.0,-6.400000000000001,217.6,236.8,True,False
573014,2013-01-11,Australia,Sri Lanka,Melbourne Cricket Ground,305,269.5,-0.8999999999999994,264.1,266.8,252.5,3.5000000000000004,273.5,263.0,263.90000000000003,-4.500000000000002,236.90000000000003,250.4,True,False
573015,2013-01-13,Australia,Sri Lanka,Adelaide Oval,170,293.6,-4.000000000000001,269.6,281.6,254.9,0.29999999999999966,256.7,255.8,208.39999999999998,15.600000000000003,302.0,255.2,True,False
565813,2013-01-15,India,England,Kochi,285,354.6,-22.400000000000006,220.2,287.4,289.5,-20.5,166.5,228.0,289.5,-20.5,166.5,228.0,True,False
573016,2013-01-18,Australia,Sri Lanka,Brisbane,74,340.00000000000006,-26.80000000000001,179.2,259.6,288.0,3.0000000000000013,303.0,295.5,247.1,-2.6999999999999997,230.9,239.0,True,False
567358,2013-01-19,South Africa,New Zealand,Paarl,208,177.0,15.999999999999995,225.0,201.0,301.0,0.0,301.0,301.0,343.5,-25.900000000000002,188.1,265.8,True,False
565814,2013-01-19,England,India,Ranchi,155,242.1,9.3,297.9,270.0,239.20000000000002,6.200000000000002,276.40000000000003,257.8,239.20000000000002,6.200000000000002,276.40000000000003,257.8,True,False
567359,2013-01-22,New Zealand,South Africa,Kimberley,279,226.9,-0.7000000000000004,222.7,224.8,350.70000000000005,-29.50000000000001,173.7,262.2,350.70000000000005,-29.50000000000001,173.7,262.2,True,False
