country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,match_id
India,0.6,-157,12,15,9,589309
Pakistan,0.375,-247,-2,16,6,589310
India,0.6,-157,12,15,9,565812
Sri Lanka,0.43478260869565216,-205,-4,23,10,573014
Sri Lanka,0.43478260869565216,-205,-4,23,10,573015
England,0.8333333333333334,85,38,12,10,565813
Sri Lanka,0.43478260869565216,-205,-4,23,10,573016
New Zealand,0.4,422,-17,10,4,567358
India,0.6,-157,12,15,9,565814
South Africa,0.5555555555555556,80,7,9,5,567359
India,0.6,-157,12,15,9,565815
Sri Lanka,0.43478260869565216,-205,-4,23,10,573018
South Africa,0.5555555555555556,80,7,9,5,567360
England,0.8333333333333334,85,38,12,10,565816
Australia,0.5263157894736842,327,-29,19,10,573022
West Indies,0.46153846153846156,-126,-13,13,6,573023
West Indies,0.46153846153846156,-126,-13,13,6,573024
Australia,0.5263157894736842,327,-29,19,10,573025
West Indies,0.46153846153846156,-126,-13,13,6,573026
New Zealand,0.4,422,-17,10,4,569240
England,0.8333333333333334,85,38,12,10,569241
England,0.8333333333333334,85,38,12,10,569242
West Indies,0.46153846153846156,-126,-13,13,6,593985
Pakistan,0.46153846153846156,-22,4,13,6,567368
Pakistan,0.46153846153846156,-22,4,13,6,567370
Pakistan,0.46153846153846156,-22,4,13,6,567371
South Africa,0.5555555555555556,212,-3,9,5,567372
Zimbabwe,0.0,-156,-5,2,0,623573
Zimbabwe,0.0,-156,-5,2,0,623574
Zimbabwe,0.0,-156,-5,2,0,623575
Pakistan,0.3076923076923077,-204,1,13,4,601613
New Zealand,0.4,16,-10,10,4,566923
England,0.625,-183,30,16,10,566924
New Zealand,0.4,16,-10,10,4,566925
South Africa,0.5454545454545454,212,0,11,6,578614
West Indies,0.4117647058823529,-28,-22,17,7,578615
Australia,0.625,300,-12,16,10,578616
New Zealand,0.4,16,-10,10,4,578617
Pakistan,0.3076923076923077,-204,1,13,4,578618
India,0.6153846153846154,84,1,13,8,578619
Sri Lanka,0.5,-60,12,12,6,578621
New Zealand,0.4,16,-10,10,4,578624
Australia,0.625,300,-12,16,10,578625
England,0.625,-183,30,16,10,566946
India,0.6153846153846154,84,1,13,8,566947
England,0.625,-183,30,16,10,566948
West Indies,0.4117647058823529,-28,-22,17,7,597923
West Indies,0.4117647058823529,-28,-22,17,7,597924
India,0.6153846153846154,84,1,13,8,597925
India,0.6153846153846154,84,1,13,8,597929
West Indies,0.4117647058823529,-28,-22,17,7,645635
Pakistan,0.3076923076923077,-204,1,13,4,645637
South Africa,0.5454545454545454,212,0,11,6,635653
India,0.6153846153846154,84,1,13,8,643665
Pakistan,0.4375,34,3,16,7,645643
Zimbabwe,0.4,-277,8,5,2,643667
Sri Lanka,0.5,-60,12,12,6,635655
India,0.6153846153846154,84,1,13,8,643669
Sri Lanka,0.5,-60,12,12,6,635656
South Africa,0.5454545454545454,212,0,11,6,635657
India,0.6153846153846154,84,1,13,8,643675
India,0.6153846153846154,84,1,13,8,643677
Zimbabwe,0.4,-277,8,5,2,659549
Netherlands,0.0,0,0,0,0,660827
Zimbabwe,0.4,-277,8,5,2,659551
Zimbabwe,0.4,-277,8,5,2,659553
England,0.47058823529411764,-117,-7,17,8,566940
Ireland,0.5,88,-2,2,1,660837
England,0.47058823529411764,-117,-7,17,8,566942
England,0.47058823529411764,-117,-7,17,8,566944
England,0.47058823529411764,-117,-7,17,8,566945
India,0.7,-29,44,20,14,647249
India,0.7,-29,44,20,14,647251
Australia,0.6363636363636364,181,2,11,7,647253
India,0.7,-29,44,20,14,647259
Pakistan,0.5294117647058824,232,0,17,9,649091
New Zealand,0.5454545454545454,69,-4,11,6,668955
South Africa,0.42857142857142855,-79,-12,14,6,649093
Australia,0.6363636363636364,181,2,11,7,647261
Bangladesh,0.5,206,-8,8,4,668957
Pakistan,0.5294117647058824,232,0,17,9,649095
Pakistan,0.5294117647058824,232,0,17,9,649097
Pakistan,0.5294117647058824,232,0,17,9,649099
India,0.7,-29,44,20,14,676529
West Indies,0.42105263157894735,-128,-17,19,8,676531
South Africa,0.42857142857142855,-79,-12,14,6,685731
South Africa,0.42857142857142855,-79,-12,14,6,685733
India,0.7,-29,44,20,14,676533
South Africa,0.42857142857142855,-79,-12,14,6,685735
India,0.7,-29,44,20,14,648651
India,0.7,-29,44,20,14,648653
Sri Lanka,0.5333333333333333,294,11,15,8,657637
Sri Lanka,0.5333333333333333,294,11,15,8,657639
Sri Lanka,0.5333333333333333,294,11,15,8,657641
Pakistan,0.5294117647058824,232,0,17,9,657643
West Indies,0.42105263157894735,-128,-17,19,8,661685
Sri Lanka,0.5333333333333333,294,11,15,8,657645
West Indies,0.42105263157894735,-128,-17,19,8,661689
New Zealand,0.42857142857142855,29,-10,14,6,661693
Australia,0.5555555555555556,226,-12,18,10,636159
Australia,0.5555555555555556,226,-12,18,10,636160
India,0.68,-362,70,25,17,667641
Australia,0.5555555555555556,226,-12,18,10,636161
Kenya,1.0,0,6,1,1,696733
Canada,0.0,0,-15,2,0,696731
Australia,0.5555555555555556,226,-12,18,10,636162
England,0.47368421052631576,-263,9,19,9,636163
Netherlands,0.5,-88,9,2,1,696747
New Zealand,0.42857142857142855,29,-10,14,6,667647
Scotland,0.0,-96,-1,2,0,696759
India,0.68,-362,70,25,17,667649
Bangladesh,0.6,161,-9,5,3,690355
Bangladesh,0.6,161,-9,5,3,690357
Sri Lanka,0.5294117647058824,322,-5,17,9,690359
West Indies,0.5714285714285714,-45,-5,14,8,702139
Pakistan,0.48148148148148145,157,-6,27,13,710291
India,0.68,-362,70,25,17,710293
Sri Lanka,0.5294117647058824,322,-5,17,9,710297
England,0.47368421052631576,-263,9,19,9,636533
Bangladesh,0.6,161,-9,5,3,710299
England,0.47368421052631576,-263,9,19,9,636534
Pakistan,0.48148148148148145,157,-6,27,13,710301
Afghanistan,0.0,0,0,0,0,710303
Pakistan,0.48148148148148145,157,-6,27,13,710305
India,0.68,-362,70,25,17,710307
West Indies,0.5714285714285714,-45,-5,14,8,636535
Sri Lanka,0.5294117647058824,322,-5,17,9,710309
Sri Lanka,0.5294117647058824,322,-5,17,9,710311
Ireland,0.4,88,-11,5,2,706767
England,0.45,-74,-7,20,9,667891
England,0.45,-74,-7,20,9,667893
England,0.45,-74,-7,20,9,667895
Sri Lanka,0.6666666666666666,524,11,24,16,667897
Sri Lanka,0.6666666666666666,524,11,24,16,730083
South Africa,0.5714285714285714,147,-4,14,8,730085
Sri Lanka,0.7083333333333334,511,15,24,17,730087
Zimbabwe,0.125,-256,-22,8,1,756037
Afghanistan,0.4,-99,-8,5,2,756039
Zimbabwe,0.125,-256,-22,8,1,756041
Zimbabwe,0.125,-256,-22,8,1,736437
Zimbabwe,0.125,-256,-22,8,1,736439
West Indies,0.5,34,-6,10,5,730287
South Africa,0.5714285714285714,147,-4,14,8,736441
Bangladesh,0.2222222222222222,-66,-14,9,2,730289
Zimbabwe,0.125,-256,-22,8,1,736443
Bangladesh,0.2222222222222222,-66,-14,9,2,730291
Pakistan,0.5238095238095238,258,-8,21,11,745161
South Africa,0.5714285714285714,147,-4,14,8,736445
Zimbabwe,0.125,-256,-22,8,1,736447
India,0.4117647058823529,-401,24,17,7,667725
Zimbabwe,0.125,-256,-22,8,1,736449
South Africa,0.5714285714285714,147,-4,14,8,736451
India,0.4117647058823529,-401,24,17,7,667727
Zimbabwe,0.125,-256,-22,8,1,736453
India,0.4117647058823529,-401,24,17,7,667729
South Africa,0.5714285714285714,147,-4,14,8,736455
Ireland,0.0,-79,-4,2,0,727935
Ireland,0.0,-79,-4,2,0,727937
Scotland,1.0,170,3,2,2,727939
Pakistan,0.5238095238095238,258,-8,21,11,727919
India,0.4117647058823529,-401,24,17,7,770121
Australia,0.6153846153846154,100,0,13,8,727921
West Indies,0.5,34,-6,10,5,770123
Pakistan,0.5238095238095238,258,-8,21,11,727923
West Indies,0.5,34,-6,10,5,770127
South Africa,0.7619047619047619,685,24,21,16,749771
New Zealand,0.5,27,1,8,4,749773
Sri Lanka,0.7272727272727273,341,8,22,16,792289
India,0.47368421052631576,-387,28,19,9,792291
India,0.47368421052631576,-387,28,19,9,792293
Sri Lanka,0.7272727272727273,341,8,22,16,792295
South Africa,0.7619047619047619,685,24,21,16,754723
India,0.47368421052631576,-387,28,19,9,792297
South Africa,0.7619047619047619,685,24,21,16,754725
South Africa,0.7619047619047619,685,24,21,16,754727
Zimbabwe,0.2,-576,2,10,2,760787
Australia,0.6923076923076923,302,3,13,9,754729
Zimbabwe,0.2,-576,2,10,2,760789
Zimbabwe,0.2,-576,2,10,2,760791
England,0.3333333333333333,-61,-22,15,5,750663
Zimbabwe,0.2,-576,2,10,2,760793
United Arab Emirates,0.5,-70,2,2,1,803795
Sri Lanka,0.7272727272727273,341,8,22,16,750665
United Arab Emirates,0.5,-70,2,2,1,803797
Bangladesh,0.0,-374,-21,10,0,760795
Sri Lanka,0.7272727272727273,341,8,22,16,750669
Pakistan,0.42857142857142855,13,-2,14,6,742619
England,0.3333333333333333,-61,-22,15,5,750671
New Zealand,0.5,27,1,8,4,742621
England,0.3333333333333333,-61,-22,15,5,750673
New Zealand,0.5,27,1,8,4,742623
England,0.3333333333333333,-61,-22,15,5,750675
Pakistan,0.42857142857142855,13,-2,14,6,742625
Pakistan,0.42857142857142855,13,-2,14,6,742627
Afghanistan,0.5,1,-14,8,4,812623
New Zealand,0.6,-33,2,10,6,749781
Ireland,0.4,-79,-2,5,2,810829
Afghanistan,0.5,1,-14,8,4,812645
Sri Lanka,0.6785714285714286,345,6,28,19,749783
Australia,0.6875,407,-3,16,11,754751
Ireland,0.4,-79,-2,5,2,810833
West Indies,0.6,275,4,10,6,722341
Australia,0.6875,407,-3,16,11,754749
New Zealand,0.6,-33,2,10,6,749787
England,0.3333333333333333,-61,-22,15,5,754753
South Africa,0.7058823529411765,253,26,17,12,722343
Sri Lanka,0.6785714285714286,345,6,28,19,749789
