country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,match_id
Pakistan,0.375,-247,-2,16,6,589309
India,0.6,-157,12,15,9,589310
England,0.8333333333333334,85,38,12,10,565812
Australia,0.5263157894736842,327,-29,19,10,573014
Australia,0.5263157894736842,327,-29,19,10,573015
India,0.6,-157,12,15,9,565813
Australia,0.5263157894736842,327,-29,19,10,573016
South Africa,0.5555555555555556,80,7,9,5,567358
England,0.8333333333333334,85,38,12,10,565814
New Zealand,0.4,422,-17,10,4,567359
England,0.8333333333333334,85,38,12,10,565815
Australia,0.5263157894736842,327,-29,19,10,573018
New Zealand,0.4,422,-17,10,4,567360
India,0.6,-157,12,15,9,565816
West Indies,0.46153846153846156,-126,-13,13,6,573022
Australia,0.5263157894736842,327,-29,19,10,573023
Australia,0.5263157894736842,327,-29,19,10,573024
West Indies,0.46153846153846156,-126,-13,13,6,573025
Australia,0.5263157894736842,327,-29,19,10,573026
England,0.8333333333333334,85,38,12,10,569240
New Zealand,0.4,422,-17,10,4,569241
New Zealand,0.4,422,-17,10,4,569242
Zimbabwe,0.0,0,0,0,0,593985
South Africa,0.5555555555555556,80,7,9,5,567368
South Africa,0.5555555555555556,80,7,9,5,567370
South Africa,0.5555555555555556,212,-3,9,5,567371
Pakistan,0.46153846153846156,-22,4,13,6,567372
Bangladesh,0.6,85,5,5,3,623573
Bangladesh,0.6,85,5,5,3,623574
Bangladesh,0.6,85,5,5,3,623575
Ireland,1.0,59,0,1,1,601613
England,0.625,-183,30,16,10,566923
New Zealand,0.4,16,-10,10,4,566924
England,0.625,-183,30,16,10,566925
India,0.6153846153846154,84,1,13,8,578614
Pakistan,0.3076923076923077,-204,1,13,4,578615
England,0.625,-183,30,16,10,578616
Sri Lanka,0.5,-60,12,12,6,578617
South Africa,0.5454545454545454,212,0,11,6,578618
West Indies,0.4117647058823529,-28,-22,17,7,578619
England,0.625,-183,30,16,10,578621
England,0.625,-183,30,16,10,578624
Sri Lanka,0.5,-60,12,12,6,578625
South Africa,0.5454545454545454,212,0,11,6,566946
Sri Lanka,0.5,-60,12,12,6,566947
India,0.6153846153846154,84,1,13,8,566948
Sri Lanka,0.5,-60,12,12,6,597923
India,0.6153846153846154,84,1,13,8,597924
Sri Lanka,0.5,-60,12,12,6,597925
Sri Lanka,0.5,-60,12,12,6,597929
