match_id,date,location,first_innings,second_innings,winner,win_by,win_dif,toss_winner,player_of_match,train_data
251492,2007-01-06,Auckland,Sri Lanka,New Zealand,Sri Lanka,runs,189,Sri Lanka,ST Jayasuriya,True
249232,2007-01-12,Melbourne Cricket Ground,England,Australia,Australia,wickets,8,England,AC Gilchrist,True
249228,2007-01-14,Hobart,Australia,New Zealand,Australia,runs,105,Australia,A Symonds,True
249236,2007-01-16,Hobart,New Zealand,England,England,wickets,3,New Zealand,A Flintoff,True
249233,2007-01-19,Brisbane,England,Australia,Australia,wickets,4,England,MEK Hussey,True
249229,2007-01-21,Sydney Cricket Ground,New Zealand,Australia,Australia,wickets,2,New Zealand,MJ Clarke,True
249237,2007-01-23,Adelaide Oval,New Zealand,England,New Zealand,runs,90,New Zealand,JDP Oram,True
249234,2007-01-26,Adelaide Oval,England,Australia,Australia,wickets,9,England,MG Johnson,True
267708,2007-01-27,Chennai,India,West Indies,West Indies,wickets,3,West Indies,MN Samuels,True
249230,2007-01-28,Perth,Australia,New Zealand,Australia,runs,8,Australia,RT Ponting,True
249238,2007-01-30,Perth,New Zealand,England,New Zealand,runs,58,New Zealand,L Vincent,True
267709,2007-01-31,Vadodara,India,West Indies,India,runs,160,West Indies,SR Tendulkar,True
267386,2007-02-02,Nairobi,Canada,Bermuda,Canada,runs,56,Bermuda,JM Davison,True
249235,2007-02-02,Sydney Cricket Ground,England,Australia,England,runs,92,England,EC Joyce,True
249231,2007-02-04,Melbourne Cricket Ground,New Zealand,Australia,Australia,wickets,5,New Zealand,RT Ponting,True
250668,2007-02-04,Centurion,South Africa,Pakistan,South Africa,runs,164,Pakistan,JH Kallis,True
267387,2007-02-04,Nairobi,Bermuda,Netherlands,Netherlands,wickets,8,Netherlands,RN ten Doeschate,True
267389,2007-02-04,Nairobi,Scotland,Kenya,Scotland,runs,77,Scotland,RM Haq,True
267391,2007-02-05,Nairobi,Kenya,Canada,Kenya,runs,158,Kenya,TM Odoyo,True
249239,2007-02-06,Brisbane,England,New Zealand,England,runs,14,England,PD Collingwood,True
250669,2007-02-07,Durban,Pakistan,South Africa,Pakistan,runs,141,Pakistan,Younis Khan,True
249240,2007-02-09,Melbourne Cricket Ground,Australia,England,England,wickets,4,Australia,PD Collingwood,True
250671,2007-02-11,Cape Town,Pakistan,South Africa,South Africa,wickets,10,South Africa,SM Pollock,True
267712,2007-02-11,Rajkot,Sri Lanka,India,Sri Lanka,runs,5,India,KC Sangakkara,True
267715,2007-02-14,Margao,Sri Lanka,India,India,wickets,5,Sri Lanka,Z Khan,True
250672,2007-02-14,Johannesburg,Pakistan,South Africa,South Africa,wickets,9,Pakistan,SM Pollock,True
