match_id,team_statistics,batsman_1,batsman_1_runs,batsman_2,batsman_2_runs,batsman_3,batsman_3_runs,batsman_4,batsman_4_runs,batsman_5,batsman_5_runs,batsman_6,batsman_6_runs,batsman_7,batsman_7_runs,batsman_8,batsman_8_runs,batsman_9,batsman_9_runs,batsman_10,batsman_10_runs,batsman_11,batsman_11_runs,bowler_1,bowler_1_wickets,bowler_2,bowler_2_wickets,bowler_3,bowler_3_wickets,bowler_4,bowler_4_wickets,bowler_5,bowler_5_wickets,bowler_6,bowler_6_wickets,bowler_7,bowler_7_wickets,bowler_8,bowler_8_wickets,bowler_9,bowler_9_wickets,bowler_10,bowler_10_wickets,bowler_11,bowler_11_wickets,total_run,total_wickets
589309,Pakistan,Nasir Jamshed,106,Mohammad Hafeez,76,Azhar Ali,2,Younis Khan,10,Misbah-ul-Haq,2,Shoaib Malik,24,Kamran Akmal,0,Umar Gul,17,Saeed Ajmal,7,Mohammad Irfan,0,not_batted,0,Mohammad Irfan,0,Junaid Khan,3,Umar Gul,2,Mohammad Hafeez,1,Saeed Ajmal,3,Shoaib Malik,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,250,10
589309,India,G Gambhir,11,V Sehwag,31,V Kohli,6,Yuvraj Singh,9,SK Raina,18,MS Dhoni,54,R Ashwin,3,RA Jadeja,13,B Kumar,0,AB Dinda,0,I Sharma,2,B Kumar,1,AB Dinda,0,I Sharma,3,R Ashwin,1,SK Raina,1,RA Jadeja,3,Yuvraj Singh,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,165,10
589310,India,G Gambhir,15,AM Rahane,4,V Kohli,7,Yuvraj Singh,23,SK Raina,31,MS Dhoni,36,R Ashwin,0,RA Jadeja,27,B Kumar,2,I Sharma,5,Mohammed Shami,0,B Kumar,2,Mohammed Shami,1,I Sharma,3,R Ashwin,2,RA Jadeja,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,167,10
589310,Pakistan,Nasir Jamshed,34,Kamran Akmal,0,Younis Khan,6,Misbah-ul-Haq,39,Umar Akmal,25,Shoaib Malik,5,Mohammad Hafeez,21,Umar Gul,11,Saeed Ajmal,1,Junaid Khan,0,Mohammad Irfan,0,Mohammad Irfan,2,Junaid Khan,1,Umar Gul,1,Mohammad Hafeez,1,Saeed Ajmal,5,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,157,10
565812,England,AN Cook,75,IR Bell,85,KP Pietersen,44,EJG Morgan,41,C Kieswetter,24,SR Patel,44,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,ST Finn,1,JW Dernbach,2,TT Bresnan,2,JC Tredwell,4,JE Root,0,SR Patel,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,325,9
565812,India,AM Rahane,47,G Gambhir,52,V Kohli,15,Yuvraj Singh,61,SK Raina,50,MS Dhoni,32,RA Jadeja,7,R Ashwin,13,B Kumar,20,AB Dinda,3,I Sharma,7,B Kumar,0,I Sharma,0,AB Dinda,2,R Ashwin,0,RA Jadeja,0,SK Raina,1,V Kohli,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,316,4
573014,Australia,AJ Finch,16,PJ Hughes,112,UT Khawaja,3,GJ Bailey,89,DJ Hussey,60,GJ Maxwell,5,BJ Haddin,10,not_batted,0,not_batted,0,not_batted,0,not_batted,0,MA Starc,1,CJ McKay,4,MG Johnson,2,XJ Doherty,0,GJ Maxwell,0,DJ Hussey,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,305,10
573014,Sri Lanka,WU Tharanga,1,TM Dilshan,51,DPMD Jayawardene,5,LD Chandimal,73,AD Mathews,12,BMAJ Mendis,20,KMDN Kulasekara,18,NLTC Perera,4,SL Malinga,1,BAW Mendis,0,not_batted,0,KMDN Kulasekara,1,SL Malinga,1,AD Mathews,1,BAW Mendis,1,TM Dilshan,0,NLTC Perera,0,BMAJ Mendis,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,198,5
573015,Australia,AJ Finch,4,PJ Hughes,3,GJ Bailey,26,DJ Hussey,29,SPD Smith,8,GJ Maxwell,8,BCJ Cutting,27,BJ Haddin,50,KW Richardson,0,CJ McKay,4,XJ Doherty,5,CJ McKay,1,KW Richardson,0,BCJ Cutting,1,XJ Doherty,0,SPD Smith,0,GJ Maxwell,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,170,2
573015,Sri Lanka,WU Tharanga,0,HDRL Thirimanne,102,TM Dilshan,51,MDKJ Perera,14,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,KMDN Kulasekara,1,AD Mathews,2,NLTC Perera,2,SL Malinga,3,BAW Mendis,1,BMAJ Mendis,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,172,10
565813,India,AM Rahane,4,G Gambhir,8,Yuvraj Singh,32,V Kohli,37,SK Raina,55,MS Dhoni,72,RA Jadeja,61,R Ashwin,1,not_batted,0,not_batted,0,not_batted,0,B Kumar,3,Mohammed Shami,1,I Sharma,0,RA Jadeja,2,Yuvraj Singh,0,R Ashwin,3,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,285,10
565813,England,AN Cook,17,IR Bell,1,KP Pietersen,42,JE Root,36,EJG Morgan,0,C Kieswetter,18,SR Patel,30,CR Woakes,0,JC Tredwell,1,ST Finn,0,JW Dernbach,2,ST Finn,2,JW Dernbach,2,CR Woakes,1,SR Patel,0,JC Tredwell,1,JE Root,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,158,6
573016,Australia,DA Warner,4,PJ Hughes,3,MJ Clarke,9,DJ Hussey,4,GJ Bailey,0,MS Wade,8,MC Henriques,2,MG Johnson,2,MA Starc,22,CJ McKay,0,XJ Doherty,15,CJ McKay,1,MA Starc,2,MG Johnson,3,MC Henriques,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,74,6
573016,Sri Lanka,DPMD Jayawardene,1,TM Dilshan,22,HDRL Thirimanne,7,MDKJ Perera,22,AD Mathews,0,WU Tharanga,12,BMAJ Mendis,2,NLTC Perera,4,not_batted,0,not_batted,0,not_batted,0,AD Mathews,1,KMDN Kulasekara,5,SL Malinga,3,NLTC Perera,0,RMS Eranga,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,75,10
567358,South Africa,HM Amla,13,GC Smith,7,CA Ingram,29,AB de Villiers,7,F du Plessis,57,Q de Kock,18,R McLaren,33,RJ Peterson,0,RK Kleinveldt,26,DW Steyn,0,LL Tsotsobe,0,DW Steyn,0,LL Tsotsobe,2,RK Kleinveldt,2,R McLaren,4,RJ Peterson,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,208,9
567358,New Zealand,RJ Nicol,4,BJ Watling,45,KS Williamson,5,BB McCullum,26,GD Elliott,1,JEC Franklin,47,JDS Neesham,0,NL McCullum,24,KD Mills,26,MJ McClenaghan,0,not_batted,0,KD Mills,1,MJ McClenaghan,4,NL McCullum,0,JEC Franklin,1,KS Williamson,4,JDS Neesham,0,GD Elliott,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,209,10
565814,England,AN Cook,17,IR Bell,25,KP Pietersen,17,JE Root,39,EJG Morgan,10,C Kieswetter,0,SR Patel,0,TT Bresnan,25,JC Tredwell,4,ST Finn,3,JW Dernbach,0,ST Finn,1,JW Dernbach,0,TT Bresnan,0,JC Tredwell,2,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,155,3
565814,India,G Gambhir,33,AM Rahane,0,V Kohli,77,Yuvraj Singh,30,MS Dhoni,10,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,B Kumar,1,Mohammed Shami,1,I Sharma,2,RA Jadeja,3,R Ashwin,2,SK Raina,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,157,10
567359,New Zealand,MJ Guptill,0,BJ Watling,12,KS Williamson,145,GD Elliott,48,BB McCullum,17,C Munro,9,JEC Franklin,0,JDS Neesham,5,NL McCullum,19,KD Mills,15,not_batted,0,KD Mills,2,MJ McClenaghan,0,NL McCullum,1,KS Williamson,0,JEC Franklin,1,JDS Neesham,1,GD Elliott,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,279,10
567359,South Africa,Q de Kock,25,GC Smith,66,CA Ingram,79,F du Plessis,2,F Behardien,31,DA Miller,14,R McLaren,2,RK Kleinveldt,0,RJ Peterson,0,M Morkel,19,LL Tsotsobe,9,RK Kleinveldt,2,LL Tsotsobe,2,M Morkel,3,R McLaren,0,RJ Peterson,0,F du Plessis,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,252,8
