batsman,country,total_runs,run_rate,average_score,opponent_variability,player_of_the_match,winning_contribution,run_rate_effectiveness,match_id
MV Boucher,South Africa,1122,1.0193798449612403,43.25,12,4,0.21335268505079827,1.567737793271209,298805
V Sibanda,Zimbabwe,235,0.978494623655914,33.57142857142857,2,1,0.28185328185328185,1.562327633756205,325800
Younis Khan,Pakistan,844,1.4775280898876404,52.75,4,2,0.2572614107883817,2.1009733878264125,325801
S Chanderpaul,West Indies,585,0.8923611111111112,42.375,9,1,0.21815286624203822,2.7692852087756545,298806
V Sibanda,Zimbabwe,235,0.8823529411764706,33.57142857142857,2,1,0.28185328185328185,1.3334090392913922,325802
JP Duminy,South Africa,1122,0.9127725856697819,43.25,12,4,0.21335268505079827,1.1144584309155232,298807
Shoaib Malik,Pakistan,844,1.3333333333333333,61.0,4,1,0.2572614107883817,1.4925007652280378,325803
SM Pollock,South Africa,1122,1.0193798449612403,43.25,12,4,0.21335268505079827,1.567737793271209,298808
Younis Khan,Pakistan,646,1.3333333333333333,61.0,4,2,0.1962062833432128,1.4925007652280378,325804
WU Tharanga,Sri Lanka,658,0.8474264705882353,43.86666666666667,9,2,0.18004338394793926,1.1451542181871732,291361
SB Styris,New Zealand,745,1.0402930402930404,43.8235294117647,9,2,0.14589877835951134,1.3817472538753723,300437
Yuvraj Singh,India,1159,0.9973045822102425,46.36,7,3,0.18562355658198615,1.277417843486162,291362
TM Dilshan,Sri Lanka,658,0.9824561403508771,43.86666666666667,9,2,0.18004338394793926,1.82971401999535,291364
Yuvraj Singh,India,1159,1.0174927113702623,46.36,7,3,0.18562355658198615,1.3471644687654105,291365
Yuvraj Singh,India,1159,1.0174927113702623,46.36,7,3,0.18562355658198615,1.3471644687654105,291366
Yuvraj Singh,India,1159,1.0174927113702623,46.36,7,3,0.18562355658198615,1.3471644687654105,291368
Yuvraj Singh,India,1159,1.0174927113702623,46.36,7,3,0.18562355658198615,1.3471644687654105,291369
RT Ponting,Australia,1119,0.9872340425531915,55.95,10,4,0.2063683998387747,1.0952009684375665,291370
Yuvraj Singh,India,1159,1.0174927113702623,46.36,7,3,0.18562355658198615,1.3471644687654105,291371
