country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,match_id
West Indies,0.5,-135,6,16,8,298805
Pakistan,0.3333333333333333,-126,-27,15,5,325800
Zimbabwe,0.14285714285714285,-108,-24,7,1,325801
South Africa,0.6428571428571429,265,30,28,18,298806
Pakistan,0.3333333333333333,-126,-27,15,5,325802
West Indies,0.5,-135,6,16,8,298807
Zimbabwe,0.14285714285714285,-108,-24,7,1,325803
West Indies,0.5,-135,6,16,8,298808
Zimbabwe,0.14285714285714285,-108,-24,7,1,325804
Australia,0.7272727272727273,1088,34,22,16,291361
England,0.5652173913043478,-2,7,23,13,300437
Australia,0.7272727272727273,1088,34,22,16,291362
Australia,0.7272727272727273,1088,34,22,16,291364
Australia,0.7272727272727273,1088,34,22,16,291365
Sri Lanka,0.6842105263157895,783,-6,19,13,291366
Australia,0.7272727272727273,1088,34,22,16,291368
Sri Lanka,0.6842105263157895,783,-6,19,13,291369
Sri Lanka,0.6842105263157895,783,-6,19,13,291370
Australia,0.7272727272727273,1088,34,22,16,291371
India,0.5,-34,12,28,14,291372
Bangladesh,0.14285714285714285,-261,-44,14,2,323949
Bangladesh,0.14285714285714285,-261,-44,14,2,323950
Bangladesh,0.14285714285714285,-261,-44,14,2,323951
Sri Lanka,0.5625,173,-2,16,9,319134
Pakistan,0.6,92,11,15,9,343761
Bangladesh,0.14285714285714285,-261,-44,14,2,343762
Pakistan,0.6,92,11,15,9,343763
Pakistan,0.6,92,11,15,9,345468
India,0.5185185185185185,-322,20,27,14,345469
Bangladesh,0.0,-282,-51,11,0,345470
Pakistan,0.65,195,18,20,13,345471
England,0.5,-99,7,14,7,296904
New Zealand,0.5,-114,15,8,4,296906
Australia,0.625,492,3,16,10,319143
England,0.5,-99,7,14,7,296907
Sri Lanka,0.46153846153846156,92,-10,13,6,335348
Pakistan,0.65,195,18,20,13,335351
New Zealand,0.5,-114,15,8,4,296908
Bangladesh,0.0,-282,-51,11,0,335352
Sri Lanka,0.46153846153846156,92,-10,13,6,335353
West Indies,0.45454545454545453,69,-12,11,5,319145
Sri Lanka,0.46153846153846156,92,-10,13,6,335354
India,0.5185185185185185,-322,20,27,14,335355
Sri Lanka,0.46153846153846156,92,-10,13,6,335356
