country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,match_id
South Africa,0.6428571428571429,265,30,28,18,298805
Zimbabwe,0.14285714285714285,-108,-24,7,1,325800
Pakistan,0.3333333333333333,-126,-27,15,5,325801
West Indies,0.5,-135,6,16,8,298806
Zimbabwe,0.14285714285714285,-108,-24,7,1,325802
South Africa,0.6428571428571429,265,30,28,18,298807
Pakistan,0.3333333333333333,-126,-27,15,5,325803
South Africa,0.6428571428571429,265,30,28,18,298808
Pakistan,0.3333333333333333,-126,-27,15,5,325804
Sri Lanka,0.6842105263157895,783,-6,19,13,291361
New Zealand,0.65,-19,46,20,13,300437
India,0.5,-34,12,28,14,291362
Sri Lanka,0.6842105263157895,783,-6,19,13,291364
India,0.5,-34,12,28,14,291365
India,0.5,-34,12,28,14,291366
India,0.5,-34,12,28,14,291368
India,0.5,-34,12,28,14,291369
Australia,0.7272727272727273,1088,34,22,16,291370
India,0.5,-34,12,28,14,291371
Australia,0.7272727272727273,1088,34,22,16,291372
South Africa,0.6428571428571429,265,30,28,18,323949
South Africa,0.6428571428571429,265,30,28,18,323950
South Africa,0.6428571428571429,265,30,28,18,323951
West Indies,0.38461538461538464,101,-14,13,5,319134
Bangladesh,0.14285714285714285,-261,-44,14,2,343761
Pakistan,0.6,92,11,15,9,343762
Bangladesh,0.14285714285714285,-261,-44,14,2,343763
Bangladesh,0.0,-282,-51,11,0,345468
Pakistan,0.6,92,11,15,9,345469
India,0.5185185185185185,-322,20,27,14,345470
India,0.5185185185185185,-322,20,27,14,345471
New Zealand,0.5,-114,15,8,4,296904
England,0.5,-99,7,14,7,296906
West Indies,0.45454545454545453,69,-12,11,5,319143
New Zealand,0.5,-114,15,8,4,296907
Bangladesh,0.0,-282,-51,11,0,335348
India,0.5185185185185185,-322,20,27,14,335351
England,0.5,-99,7,14,7,296908
India,0.5185185185185185,-322,20,27,14,335352
Pakistan,0.65,195,18,20,13,335353
Australia,0.625,492,3,16,10,319145
Bangladesh,0.0,-282,-51,11,0,335354
Pakistan,0.65,195,18,20,13,335355
India,0.5185185185185185,-322,20,27,14,335356
Pakistan,0.65,195,18,20,13,335357
West Indies,0.45454545454545453,69,-12,11,5,319146
West Indies,0.45454545454545453,69,-12,11,5,319147
India,0.5185185185185185,-322,20,27,14,335358
Sri Lanka,0.46153846153846156,92,-10,13,6,343732
India,0.5454545454545454,-51,30,33,18,343733
South Africa,0.8333333333333334,148,55,18,15,296914
Sri Lanka,0.46153846153846156,92,-10,13,6,343734
England,0.42857142857142855,-87,6,14,6,296915
Sri Lanka,0.47368421052631576,545,-16,19,9,366341
South Africa,0.8333333333333334,148,55,18,15,296916
Bangladesh,0.06666666666666667,-436,-70,15,1,336201
Australia,0.7,746,10,20,14,336202
Bangladesh,0.06666666666666667,-436,-70,15,1,336204
Bangladesh,0.05555555555555555,-689,-78,18,1,350348
Pakistan,0.7777777777777778,391,32,18,14,374059
England,0.5,187,3,8,4,361043
West Indies,0.25,-260,-19,12,3,374060
England,0.5,187,3,8,4,361044
Sri Lanka,0.4375,338,-11,16,7,375456
Sri Lanka,0.4375,338,-11,16,7,375457
Zimbabwe,0.125,-221,-24,8,1,375460
India,0.6818181818181818,260,39,22,15,361047
Zimbabwe,0.125,-221,-24,8,1,375462
New Zealand,0.8,-41,7,5,4,366711
Bangladesh,0.058823529411764705,-750,-62,17,1,378753
Bangladesh,0.058823529411764705,-750,-62,17,1,378755
South Africa,0.75,160,31,12,9,351684
South Africa,0.75,160,31,12,9,351685
Pakistan,0.8333333333333334,384,42,18,15,385749
Pakistan,0.8333333333333334,384,42,18,15,385750
Bangladesh,0.058823529411764705,-750,-62,17,1,378759
South Africa,0.75,160,31,12,9,351686
Pakistan,0.8333333333333334,384,42,18,15,385751
South Africa,0.75,160,31,12,9,351687
India,0.7391304347826086,503,39,23,17,386530
Australia,0.7333333333333333,744,4,15,11,351688
Sri Lanka,0.5,362,-9,22,11,386531
Zimbabwe,0.1,-9,-34,10,1,385025
New Zealand,0.8,-41,7,5,4,351689
Sri Lanka,0.5,362,-9,22,11,386532
Sri Lanka,0.5,362,-9,22,11,386533
New Zealand,0.8,-41,7,5,4,351690
New Zealand,0.8,-41,7,5,4,351691
India,0.7391304347826086,503,39,23,17,386534
Australia,0.7333333333333333,744,4,15,11,351692
New Zealand,0.6666666666666666,-73,10,9,6,366627
New Zealand,0.6666666666666666,-73,10,9,6,366625
England,0.4,-25,3,10,4,352666
Ireland,0.0,-156,0,1,0,390204
West Indies,0.125,-278,-17,8,1,352669
South Africa,0.6,108,4,10,6,350477
South Africa,0.6,108,4,10,6,350478
Australia,0.625,505,-1,16,10,350479
Australia,0.625,505,-1,16,10,350480
South Africa,0.6,108,4,10,6,350481
Pakistan,0.6153846153846154,-293,24,13,8,392616
Australia,0.625,505,-1,16,10,392617
Pakistan,0.6153846153846154,-293,24,13,8,392618
Australia,0.625,505,-1,16,10,392619
Pakistan,0.6153846153846154,-293,24,13,8,392620
England,0.4166666666666667,-20,3,12,5,380715
West Indies,0.1111111111111111,-283,-18,9,1,380716
West Indies,0.1111111111111111,-283,-18,9,1,377313
West Indies,0.1111111111111111,-283,-18,9,1,377314
West Indies,0.2222222222222222,-107,-9,9,2,401073
Bangladesh,0.2857142857142857,-352,3,7,2,401074
Pakistan,0.5,-366,9,10,5,403370
Bangladesh,0.2857142857142857,-352,3,7,2,401075
Sri Lanka,0.47058823529411764,147,1,17,8,403371
Sri Lanka,0.47058823529411764,147,1,17,8,403372
Sri Lanka,0.47058823529411764,147,1,17,8,403373
Bangladesh,0.2857142857142857,-352,3,7,2,410337
Sri Lanka,0.47058823529411764,147,1,17,8,403374
Zimbabwe,0.375,170,-17,8,3,410338
Bangladesh,0.2857142857142857,-352,3,7,2,410339
Bangladesh,0.2857142857142857,-352,3,7,2,410340
Bangladesh,0.2857142857142857,-352,3,7,2,410341
Canada,1.0,148,0,1,1,415162
England,0.42857142857142855,-149,0,7,3,350043
England,0.42857142857142855,-149,0,7,3,350044
New Zealand,0.5714285714285714,-90,17,7,4,403380
Australia,0.45,200,-20,20,9,350045
India,0.75,451,-4,12,9,403382
Australia,0.45,200,-20,20,9,350046
India,0.75,451,-4,12,9,403381
Sri Lanka,0.47058823529411764,147,1,17,8,403383
Australia,0.45,200,-20,20,9,350047
England,0.42857142857142855,-149,0,7,3,350048
England,0.42857142857142855,-149,0,7,3,350049
Pakistan,0.5,-366,9,10,5,415274
South Africa,0.75,152,21,12,9,415275
England,0.42857142857142855,-149,0,7,3,415276
West Indies,0.2222222222222222,-107,-9,9,2,415277
India,0.75,451,-4,12,9,415278
South Africa,0.75,152,21,12,9,415280
Sri Lanka,0.47058823529411764,147,1,17,8,415279
New Zealand,0.5714285714285714,-90,17,7,4,415282
India,0.75,451,-4,12,9,415284
Australia,0.45,200,-20,20,9,415283
Australia,0.45,200,-20,20,9,415285
New Zealand,0.5714285714285714,-90,17,7,4,415286
Australia,0.45,200,-20,20,9,415287
India,0.75,451,-4,12,9,416236
Zimbabwe,0.25,34,-34,12,3,422626
Australia,0.45,200,-20,20,9,416237
Bangladesh,0.75,-67,34,12,9,422627
India,0.75,451,-4,12,9,416238
Bangladesh,0.75,-67,34,12,9,422628
India,0.75,451,-4,12,9,416239
Bangladesh,0.75,-67,34,12,9,422629
New Zealand,0.5714285714285714,-90,17,7,4,426720
India,0.75,451,-4,12,9,416240
Bangladesh,0.75,-67,34,12,9,422630
Pakistan,0.5,-70,0,18,9,426721
Australia,0.5882352941176471,260,4,34,20,416241
Zimbabwe,0.25,34,-34,12,3,430508
Pakistan,0.5,-70,0,18,9,426722
Zimbabwe,0.25,34,-34,12,3,430509
England,0.375,-69,-20,16,6,387566
England,0.375,-69,-20,16,6,387567
England,0.375,-69,-20,16,6,387568
Sri Lanka,0.42105263157894735,112,-13,19,8,430886
Sri Lanka,0.42105263157894735,112,-13,19,8,430887
India,0.55,160,3,20,11,430888
India,0.55,160,3,20,11,430889
Sri Lanka,0.42105263157894735,112,-13,19,8,434258
Sri Lanka,0.42105263157894735,112,-13,19,8,434259
India,0.55,160,3,20,11,434260
Sri Lanka,0.42105263157894735,112,-13,19,8,434261
India,0.55,160,3,20,11,434262
India,0.55,160,3,20,11,434263
Sri Lanka,0.42105263157894735,112,-13,19,8,434264
Australia,0.6176470588235294,258,13,34,21,406202
Pakistan,0.3888888888888889,102,-17,18,7,406203
Pakistan,0.3888888888888889,102,-17,18,7,406204
Pakistan,0.3888888888888889,102,-17,18,7,406205
Australia,0.6176470588235294,258,13,34,21,406206
Bangladesh,0.8125,-6,47,16,13,423783
West Indies,0.16666666666666666,-185,-16,12,2,406192
New Zealand,0.4666666666666667,-216,0,15,7,423784
Australia,0.6176470588235294,258,13,34,21,406193
New Zealand,0.4666666666666667,-216,0,15,7,423785
West Indies,0.16666666666666666,-185,-16,12,2,406195
West Indies,0.16666666666666666,-185,-16,12,2,406196
South Africa,0.5833333333333334,245,-2,12,7,441827
South Africa,0.5833333333333334,245,-2,12,7,441828
India,0.5416666666666666,2,19,24,13,441829
England,0.4444444444444444,-181,0,18,8,426420
England,0.4444444444444444,-181,0,18,8,426421
New Zealand,0.4666666666666667,-216,0,15,7,423791
West Indies,0.16666666666666666,-185,-16,12,2,439140
Bangladesh,0.5,-114,-8,22,11,426422
West Indies,0.16666666666666666,-185,-16,12,2,439141
Australia,0.6176470588235294,258,13,34,21,423793
Zimbabwe,0.16666666666666666,-237,-30,12,2,439142
West Indies,0.16666666666666666,-185,-16,12,2,439143
Australia,0.6176470588235294,258,13,34,21,423795
West Indies,0.16666666666666666,-185,-16,12,2,439144
West Indies,0.2631578947368421,-329,-12,19,5,439148
West Indies,0.2631578947368421,-329,-12,19,5,439149
Zimbabwe,0.17647058823529413,-376,-42,17,3,452146
South Africa,0.5,283,-9,10,5,439150
India,0.56,8,27,25,14,452147
Sri Lanka,0.5263157894736842,-93,12,19,10,452148
South Africa,0.5,283,-9,10,5,439151
Zimbabwe,0.17647058823529413,-376,-42,17,3,452149
Sri Lanka,0.5263157894736842,-93,12,19,10,452150
Zimbabwe,0.17647058823529413,-376,-42,17,3,452151
Sri Lanka,0.5263157894736842,-93,12,19,10,452152
Pakistan,0.29411764705882354,48,-21,17,5,455231
India,0.56,8,27,25,14,455232
Bangladesh,0.4782608695652174,-159,-8,23,11,455233
India,0.56,8,27,25,14,455234
Bangladesh,0.4782608695652174,-159,-8,23,11,455235
Sri Lanka,0.5263157894736842,-93,12,19,10,455236
England,0.47058823529411764,-199,2,17,8,426387
England,0.47058823529411764,-199,2,17,8,426388
Sri Lanka,0.5263157894736842,-93,12,19,10,455237
England,0.47058823529411764,-199,2,17,8,426389
England,0.47058823529411764,-199,2,17,8,426390
England,0.47058823529411764,-199,2,17,8,426391
Ireland,0.0,0,0,0,0,450379
England,0.47058823529411764,-199,2,17,8,426403
England,0.47058823529411764,-199,2,17,8,426404
Bangladesh,0.4782608695652174,-159,-8,23,11,426405
India,0.5483870967741935,69,25,31,17,456662
Sri Lanka,0.5652173913043478,210,16,23,13,456664
India,0.5483870967741935,69,25,31,17,456663
Scotland,0.0,0,0,0,0,450501
Sri Lanka,0.5652173913043478,210,16,23,13,456666
New Zealand,0.625,71,-4,16,10,456665
India,0.5483870967741935,69,25,31,17,456668
Pakistan,0.26666666666666666,-71,-12,15,4,426428
England,0.5909090909090909,-137,23,22,13,426429
England,0.5909090909090909,-137,23,22,13,426430
England,0.5909090909090909,-137,23,22,13,426431
Pakistan,0.26666666666666666,-71,-12,15,4,426432
Bangladesh,0.23809523809523808,-595,-43,21,5,476598
New Zealand,0.6666666666666666,225,1,12,8,476599
Zimbabwe,0.29411764705882354,-396,-22,17,5,463143
South Africa,0.6666666666666666,389,-6,12,8,463144
