match_id,innings,team,opponent,ball,batsman,non_striker,bowler,scored_runs,extras,total,extra_type,wicket,wicket_type,player_out,fielders,winner
860277,1st innings,Sri Lanka,Pakistan,0.1,MDKJ Perera,TM Dilshan,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,0.2,MDKJ Perera,TM Dilshan,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,0.3,MDKJ Perera,TM Dilshan,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,0.4,MDKJ Perera,TM Dilshan,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,0.5,MDKJ Perera,TM Dilshan,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,0.6,MDKJ Perera,TM Dilshan,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,1.1,TM Dilshan,MDKJ Perera,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,1.2,TM Dilshan,MDKJ Perera,Anwar Ali,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,1.3,MDKJ Perera,TM Dilshan,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,1.4,MDKJ Perera,TM Dilshan,Anwar Ali,4,0,4,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,1.5,MDKJ Perera,TM Dilshan,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,1.6,MDKJ Perera,TM Dilshan,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,2.1,TM Dilshan,MDKJ Perera,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,2.2,TM Dilshan,MDKJ Perera,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,2.3,TM Dilshan,MDKJ Perera,Mohammad Irfan,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,2.4,MDKJ Perera,TM Dilshan,Mohammad Irfan,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,2.5,TM Dilshan,MDKJ Perera,Mohammad Irfan,4,0,4,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,2.6,TM Dilshan,MDKJ Perera,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,3.1,MDKJ Perera,TM Dilshan,Anwar Ali,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,3.2,TM Dilshan,MDKJ Perera,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,3.3,TM Dilshan,MDKJ Perera,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,3.4,TM Dilshan,MDKJ Perera,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,3.5,TM Dilshan,MDKJ Perera,Anwar Ali,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,3.6,MDKJ Perera,TM Dilshan,Anwar Ali,3,0,3,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,4.1,MDKJ Perera,TM Dilshan,Mohammad Irfan,4,0,4,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,4.2,MDKJ Perera,TM Dilshan,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,4.3,MDKJ Perera,TM Dilshan,Mohammad Irfan,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,4.4,TM Dilshan,MDKJ Perera,Mohammad Irfan,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,4.5,MDKJ Perera,TM Dilshan,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,4.6,MDKJ Perera,TM Dilshan,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,5.1,TM Dilshan,MDKJ Perera,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,5.2,TM Dilshan,MDKJ Perera,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,5.3,TM Dilshan,MDKJ Perera,Anwar Ali,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,5.4,MDKJ Perera,TM Dilshan,Anwar Ali,4,0,4,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,5.5,MDKJ Perera,TM Dilshan,Anwar Ali,4,0,4,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,5.6,MDKJ Perera,TM Dilshan,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,6.1,TM Dilshan,MDKJ Perera,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,6.2,TM Dilshan,MDKJ Perera,Mohammad Irfan,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,6.3,MDKJ Perera,TM Dilshan,Mohammad Irfan,0,1,1,legbyes,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,6.4,TM Dilshan,MDKJ Perera,Mohammad Irfan,4,0,4,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,6.5,TM Dilshan,MDKJ Perera,Mohammad Irfan,4,0,4,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,6.6,TM Dilshan,MDKJ Perera,Mohammad Irfan,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,7.1,MDKJ Perera,TM Dilshan,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,7.2,MDKJ Perera,TM Dilshan,Anwar Ali,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,7.3,TM Dilshan,MDKJ Perera,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,7.4,TM Dilshan,MDKJ Perera,Anwar Ali,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,7.5,MDKJ Perera,TM Dilshan,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,7.6,MDKJ Perera,TM Dilshan,Anwar Ali,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,8.1,MDKJ Perera,TM Dilshan,Rahat Ali,4,0,4,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,8.2,MDKJ Perera,TM Dilshan,Rahat Ali,2,0,2,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,8.3,MDKJ Perera,TM Dilshan,Rahat Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,8.4,MDKJ Perera,TM Dilshan,Rahat Ali,6,0,6,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,8.5,MDKJ Perera,TM Dilshan,Rahat Ali,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,8.6,TM Dilshan,MDKJ Perera,Rahat Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,9.1,MDKJ Perera,TM Dilshan,Anwar Ali,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,9.2,TM Dilshan,MDKJ Perera,Anwar Ali,4,0,4,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,9.3,TM Dilshan,MDKJ Perera,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,9.4,TM Dilshan,MDKJ Perera,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,9.5,TM Dilshan,MDKJ Perera,Anwar Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,9.6,TM Dilshan,MDKJ Perera,Anwar Ali,2,0,2,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,10.1,MDKJ Perera,TM Dilshan,Rahat Ali,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,10.2,TM Dilshan,MDKJ Perera,Rahat Ali,4,0,4,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,10.3,TM Dilshan,MDKJ Perera,Rahat Ali,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,10.4,MDKJ Perera,TM Dilshan,Rahat Ali,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,10.5,TM Dilshan,MDKJ Perera,Rahat Ali,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,10.6,TM Dilshan,MDKJ Perera,Rahat Ali,2,0,2,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,11.1,MDKJ Perera,TM Dilshan,Imad Wasim,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,11.2,MDKJ Perera,TM Dilshan,Imad Wasim,4,0,4,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,11.3,MDKJ Perera,TM Dilshan,Imad Wasim,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,11.4,TM Dilshan,MDKJ Perera,Imad Wasim,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,11.5,TM Dilshan,MDKJ Perera,Imad Wasim,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,11.6,MDKJ Perera,TM Dilshan,Imad Wasim,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,12.1,MDKJ Perera,TM Dilshan,Shoaib Malik,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,12.2,MDKJ Perera,TM Dilshan,Shoaib Malik,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,12.3,MDKJ Perera,TM Dilshan,Shoaib Malik,4,0,4,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,12.4,MDKJ Perera,TM Dilshan,Shoaib Malik,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,12.5,MDKJ Perera,TM Dilshan,Shoaib Malik,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,12.6,MDKJ Perera,TM Dilshan,Shoaib Malik,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,13.1,TM Dilshan,MDKJ Perera,Imad Wasim,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,13.2,MDKJ Perera,TM Dilshan,Imad Wasim,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,13.3,MDKJ Perera,TM Dilshan,Imad Wasim,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,13.4,TM Dilshan,MDKJ Perera,Imad Wasim,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,13.5,MDKJ Perera,TM Dilshan,Imad Wasim,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,13.6,TM Dilshan,MDKJ Perera,Imad Wasim,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,14.1,MDKJ Perera,TM Dilshan,Shoaib Malik,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,14.2,MDKJ Perera,TM Dilshan,Shoaib Malik,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,14.3,MDKJ Perera,TM Dilshan,Shoaib Malik,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,14.4,TM Dilshan,MDKJ Perera,Shoaib Malik,2,0,2,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,14.5,TM Dilshan,MDKJ Perera,Shoaib Malik,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,14.6,TM Dilshan,MDKJ Perera,Shoaib Malik,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,15.1,TM Dilshan,MDKJ Perera,Imad Wasim,0,1,1,wides,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,15.2,TM Dilshan,MDKJ Perera,Imad Wasim,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,15.3,MDKJ Perera,TM Dilshan,Imad Wasim,6,0,6,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,15.4,MDKJ Perera,TM Dilshan,Imad Wasim,6,0,6,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,15.5,MDKJ Perera,TM Dilshan,Imad Wasim,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,15.6,TM Dilshan,MDKJ Perera,Imad Wasim,0,2,2,legbyes,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,15.7,TM Dilshan,MDKJ Perera,Imad Wasim,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,16.1,TM Dilshan,MDKJ Perera,Shoaib Malik,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,16.2,MDKJ Perera,TM Dilshan,Shoaib Malik,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,16.3,MDKJ Perera,TM Dilshan,Shoaib Malik,0,0,0,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,16.4,MDKJ Perera,TM Dilshan,Shoaib Malik,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,16.5,TM Dilshan,MDKJ Perera,Shoaib Malik,1,0,1,NA,0,NA,NA,NA,1
860277,1st innings,Sri Lanka,Pakistan,16.6,MDKJ Perera,TM Dilshan,Shoaib Malik,1,0,1,NA,0,NA,NA,NA,1
